ObjectID,PointID,XPosB1,XPosB2,XPosB3,XPosB4,XPosB5,XPosB6,XPosB7,XPosB8,YPosB1,YPosB2,YPosB3,YPosB4,YPosB5,YPosB6,YPosB7,YPosB8
1,1,6077,6080,6084,6087,0,0,0,6027,3191,3187,3184,3182,0,0,0,3231
1,2,6062,6066,6071,6075,0,0,0,6014,3200,3196,3193,3190,0,0,0,3240
2,1,7964,7963,7960,7958,0,0,0,7992,6316,6317,6317,6317,0,0,0,6314
2,2,7985,7982,7980,7977,0,0,0,8011,6309,6308,6308,6309,0,0,0,6305
3,1,3133,3129,3126,3123,0,0,0,3170,4569,4569,4568,4568,0,0,0,4571
3,2,3144,3140,3137,3134,0,0,0,3180,4566,4566,4567,4566,0,0,0,4569
4,1,5068,5066,5064,5062,0,0,0,5095,8027,8026,8026,8026,0,0,0,8028
4,2,5079,5076,5074,5072,0,0,0,5104,8020,8020,8019,8020,0,0,0,8021
5,1,5296,5300,5302,5306,0,0,0,5257,7427,7427,7427,7427,0,0,0,7425
5,2,5278,5282,5285,5288,0,0,0,5240,7415,7416,7416,7416,0,0,0,7413
6,1,7960,7958,7956,7954,0,0,0,7985,8006,8002,7998,7995,0,0,0,8053
6,2,7975,7973,7970,7968,0,0,0,7998,8021,8017,8012,8008,0,0,0,8067
7,1,3415,3414,3413,3412,0,0,0,3425,8070,8069,8067,8067,0,0,0,8084
7,2,3429,3428,3427,3427,0,0,0,3438,8087,8085,8084,8082,0,0,0,8101
8,1,2002,2002,2002,2002,0,0,0,2003,5655,5650,5645,5640,0,0,0,5718
8,2,2005,2005,2006,2005,0,0,0,2007,5674,5668,5662,5657,0,0,0,5735
